18971;14/11/22;9;802020;1;1;3500.0000
18971;14/11/22;None;2;None;1;35100.0000
18975;14/11/22;7;1006;5;1;0.0000
18975;14/11/22;1;101007;6;1;59800.0000
18975;14/11/22;8;101026;4;1;31800.0000
18975;14/11/22;1;101522;5;1;0.0000
18975;14/11/22;1;103351;6;1;34800.0000
18975;14/11/22;1;103449;7;1;29800.0000
18975;14/11/22;1;103773;7;1;14800.0000
18975;14/11/22;1;104294;5;1;59800.0000
18975;14/11/22;9;802020;1;1;10000.0000
18975;14/11/22;None;5;None;1;240800.0000
18972;14/11/22;1;102226;5;1;7800.0000
18972;14/11/22;1;103338;5;1;58800.0000
18972;14/11/22;1;103750;7;2;27600.0000
18972;14/11/22;9;802020;1;1;9420.0000
18972;14/11/22;None;2;None;1;103620.0000
18965;14/11/22;8;102790;4;1;35800.0000
18965;14/11/22;8;102291;4;1;4600.0000
18965;14/11/22;9;802020;1;1;4040.0000
18965;14/11/22;None;2;None;1;44440.0000
32190;14/11/22;1;100891;5;1;34800.0000
32190;14/11/22;1;100892;5;1;34800.0000
32190;14/11/22;1;100894;5;1;34800.0000
32190;14/11/22;9;802020;1;1;10000.0000
32190;14/11/22;None;2;None;1;114400.0000
18970;14/11/22;7;1002;5;1;0.0000
18970;14/11/22;1;101522;5;1;0.0000
18970;14/11/22;1;102037;7;1;42800.0000
18970;14/11/22;1;104294;5;1;59800.0000
18970;14/11/22;9;802020;1;1;10000.0000
18970;14/11/22;None;2;None;1;112600.0000
18981;14/11/22;1;102227;5;1;1200.0000
18981;14/11/22;1;102255;5;1;4800.0000
18981;14/11/22;1;102314;5;1;6800.0000
18981;14/11/22;1;103351;6;1;34800.0000
18981;14/11/22;1;103993;6;1;16800.0000
18981;14/11/22;1;104447;6;1;56800.0000
18981;14/11/22;7;1302;5;1;0.0000
18981;14/11/22;9;802020;1;1;9800.0000
18981;14/11/22;1;109407;5;1;37800.0000
18981;14/11/22;None;5;None;1;68800.0000
18981;14/11/22;None;2;None;1;-100000.0000
18980;14/11/22;1;104347;6;1;49800.0000
18980;14/11/22;1;108314;6;1;37800.0000
18980;14/11/22;1;108314;6;1;37800.0000
18980;14/11/22;9;802020;1;1;10000.0000
18980;14/11/22;None;2;None;1;135400.0000
18979;14/11/22;1;101007;6;1;59800.0000
18979;14/11/22;1;101043;7;1;19800.0000
18979;14/11/22;1;104873;6;1;37800.0000
18979;14/11/22;9;802020;1;1;10000.0000
18979;14/11/22;None;2;None;1;127400.0000
32193;14/11/22;7;1135;5;1;0.0000
32193;14/11/22;7;1135;5;1;0.0000
32193;14/11/22;1;100894;5;1;34800.0000
32193;14/11/22;1;100894;5;1;34800.0000
32193;14/11/22;1;100894;5;-1;-34800.0000
32193;14/11/22;1;101308;7;1;16800.0000
32193;14/11/22;1;102677;5;1;31800.0000
32193;14/11/22;None;152;None;1;83400.0000
32191;14/11/22;1;101114;7;1;11800.0000
32191;14/11/22;1;101323;4;1;28800.0000
32191;14/11/22;8;103867;4;1;26800.0000
32191;14/11/22;7;1213;4;1;0.0000
32191;14/11/22;9;802020;1;1;6740.0000
32191;14/11/22;None;2;None;1;74140.0000
18973;14/11/22;7;1135;7;1;0.0000
18973;14/11/22;1;100891;5;1;34800.0000
18973;14/11/22;1;101043;7;1;19800.0000
18973;14/11/22;1;102172;5;1;4800.0000
18973;14/11/22;1;103347;5;1;58800.0000
18973;14/11/22;3;201420;10;2;11600.0000
18973;14/11/22;9;802020;1;1;10000.0000
18973;14/11/22;None;2;None;1;139800.0000
32196;14/11/22;1;101007;6;1;59800.0000
32196;14/11/22;1;101007;6;1;59800.0000
32196;14/11/22;1;107840;6;2;85600.0000
32196;14/11/22;1;106881;6;1;24800.0000
